SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
ALCHEM,alchemist,A12,Jun 2019 - Sep 2019,11-11-2019,0.85,1.8,0.65,1.1176470588235294
ANGIND,angindustries,ANG,Mar 2018 - Jun 2018,,2.6,2.75,1.45,-0.44230769230769235
ANGIND,angindustries,ANG,Mar 2017 - Jun 2017,27-07-2017,7.85,9.1,5.3,-0.3248407643312102
APTECHT,aptech,A11,Mar 2020 - Jun 2020,27-07-2020,107.6,138.0,106.85,0.28252788104089227
ARROWGREEN,arrowgreentech,ACP,Mar 2019 - Jun 2019,03-08-2019,56.3,70.75,44.55,0.2566607460035525
ATLASCYCLE,atlascycleindustries,ACI08,Jun 2019 - Sep 2019,29-10-2019,56.05,56.45,41.5,-0.2595896520963425
AUTOIND,autolineindustries,AI59,Mar 2020 - Jun 2020,30-07-2020,28.25,43.55,26.8,0.5415929203539822
AUTOIND,autolineindustries,AI59,Dec 2019 - Mar 2020,,19.9,43.55,18.1,1.1884422110552764
BRFL,bombayrayonfashions,BRF,Mar 2020 - Jun 2020,28-07-2020,8.1,15.25,8.1,0.8827160493827161
CASTEXTECH,castextechnologies,AI49,Sep 2019 - Dec 2019,14-02-2019,0.75,1.15,0.75,0.5333333333333332
CASTEXTECH,castextechnologies,AI49,Sep 2018 - Dec 2018,01-03-2018,4.8,4.8,2.15,-0.5520833333333334
CGPOWER,cgpowerindustrialsolutions,CG,Mar 2020 - Jun 2020,,13.3,33.2,13.3,1.4962406015037595
CHENNPETRO,chennaipetroleumcorporation,CPC02,Jun 2019 - Sep 2019,17-10-2019,161.95,165.2,109.45,-0.3241741278172275
CHROMATIC,chromaticindia,CI31,Mar 2020 - Jun 2020,31-07-2020,1.05,1.1,0.65,-0.38095238095238093
CCHHL,countryclubhospitalityholidays,CCI06,Mar 2020 - Jun 2020,31-07-2020,2.85,3.45,2.8,0.2105263157894737
CCHHL,countryclubhospitalityholidays,CCI06,Mar 2019 - Jun 2019,13-08-2019,3.85,4.3,3.15,-0.18181818181818185
COX&KINGS,coxkings,CK,Dec 2019 - Mar 2020,,1.8,1.95,1.2,-0.33333333333333337
COX&KINGS,coxkings,CK,Sep 2019 - Dec 2019,14-02-2019,154.0,167.85,96.25,-0.375
DIAPOWER,diamondpowerinfrastructure,DC05,Sep 2017 - Dec 2017,,16.7,16.7,2.55,-0.8473053892215568
DQE,dqentertainmentinternational,DEI01,Sep 2019 - Dec 2019,12-02-2019,6.55,9.85,5.35,0.5038167938931297
EROSMEDIA,erosinternationalmedia,EIM,Mar 2021 - Jun 2021,14-08-2021,20.75,21.8,16.8,-0.1903614457831325
FCONSUMER,futureconsumer,FVI,Mar 2020 - Jun 2020,10-07-2020,11.2,12.6,7.9,-0.29464285714285704
FEL,futureenterprises,PR03,Mar 2020 - Jun 2020,15-09-2020,15.05,15.05,8.6,-0.4285714285714286
FELDVR,futureenterprisesdvr,FELDV57000,Mar 2020 - Jun 2020,15-09-2020,16.2,16.2,9.75,-0.39814814814814814
GFLLIMITED,gfl,GF07,Sep 2020 - Dec 2020,14-02-2020,152.65,154.0,70.85,-0.5358663609564364
GFLLIMITED,gfl,GF07,Mar 2020 - Jun 2020,30-07-2020,84.2,103.05,78.3,0.22387173396674576
GAL,gyscoalalloys,GA01,Sep 2019 - Dec 2019,13-02-2019,5.2,6.0,4.1,-0.21153846153846165
HCL-INSYS,hclinfosystems,HCL,Mar 2022 - Jun 2022,09-08-2022,17.3,18.3,15.75,-0.08959537572254339
HMT,hmt,HMT,Sep 2021 - Dec 2021,10-02-2021,26.0,37.9,22.05,0.4576923076923076
IMAGICAA,imagicaaworldentertainment,AE01,Mar 2020 - Jun 2020,29-07-2020,4.7,5.4,3.75,-0.20212765957446813
INDLMETER,imppowers,IMP02,Jun 2021 - Sep 2021,14-11-2021,11.95,25.9,11.95,1.1673640167364017
